Time,Thrust
1.35,260.1067887
1.36,270.4042715
1.37,221.5865751
1.38,269.641495
1.39,232.2654462
1.4,274.5995423
1.41,282.6086957
1.42,264.6834477
1.43,269.2601068
1.44,283.3714722
1.45,280.7017544
1.46,281.4645309
1.47,277.6506484
1.48,305.1106026
1.49,295.194508
1.5,260.8695652
1.51,298.6270023
1.52,303.2036613
1.53,366.8954996
1.54,349.35164
1.55,356.979405
1.56,374.1418764
1.57,323.798627
1.58,304.7292143
1.59,252.8604119
1.6,266.2090008
1.61,257.0556827
1.62,261.2509535
1.63,301.6781083
1.64,307.7803204
1.65,290.9992372
1.66,299.0083905
1.67,284.1342487
1.68,252.4790236
1.69,242.9443173
1.7,277.2692601
1.71,299.0083905
1.72,257.4370709
1.73,249.8093059
1.74,264.6834477
1.75,237.2234935
1.76,254.3859649
1.77,255.9115179
1.78,273.0739893
1.79,249.4279176
1.8,229.2143402
1.81,244.4698703
1.82,216.2471396
1.83,244.8512586
1.84,265.064836
1.85,276.8878719
1.86,232.2654462
1.87,224.2562929
1.88,270.4042715
1.89,270.4042715
1.9,227.6887872
1.91,232.2654462
1.92,243.7070938
1.93,250.5720824
1.94,218.9168574
1.95,213.5774218
1.96,249.4279176
1.97,221.2051869
1.98,230.7398932
1.99,212.4332571
2,189.5499619
2.01,183.8291381
2.02,161.7086194
2.03,168.9549962
2.04,150.64836
2.05,130.0533944
2.06,136.9183829
2.07,98.77955759
2.08,112.890923
2.09,106.4073227
2.1,99.5423341
2.11,106.0259344
2.12,79.32875667
2.13,95.34706331
2.14,88.1006865
2.15,78.56598017
2.16,96.49122807
2.17,75.8962624
2.18,92.29595728
2.19,81.23569794
2.2,72.84515637
2.21,89.62623951
2.22,64.07322654
2.23,75.13348589
2.24,64.83600305
2.25,61.02212052
2.26,80.85430969
2.27,55.68268497
2.28,68.64988558
2.29,58.35240275
2.3,54.15713196
2.31,71.70099161
2.32,50.34324943
2.33,65.98016781
2.34,56.44546148
2.35,49.58047292
2.36,65.98016781
2.37,40.8085431
2.38,53.39435545
2.39,43.09687262
2.4,38.13882532
2.41,57.20823799
2.42,35.8504958
2.43,53.39435545
2.44,42.33409611
2.45,34.70633105
2.46,51.48741419
2.47,29.74828375
2.48,47.2921434
2.49,36.23188406
2.5,32.03661327
2.51,48.43630816
2.52,24.40884821
2.53,38.90160183
2.54,26.69717773
2.55,23.26468345
2.56,40.8085431
2.57,20.59496568
2.58,38.52021358
2.59,30.12967201
2.6,24.02745995
2.61,39.28299008
2.62,15.25553013
2.63,35.46910755
2.64,25.17162471
2.65,22.12051869
2.66,37.37604882
2.67,14.11136537
2.68,29.74828375
2.69,16.39969489
2.7,13.34858886
2.71,30.12967201
2.72,10.29748284
2.73,29.3668955
2.74,20.97635393
2.75,17.9252479
2.76,33.56216629
2.77,8.390541571
2.78,26.69717773
2.79,15.25553013
2.8,14.49275362
2.81,30.12967201
2.82,6.483600305
2.83,21.73913043
2.84,8.390541571
2.85,8.390541571
2.86,25.17162471
2.87,4.195270786
2.88,21.73913043
2.89,11.4416476
2.9,9.916094584
2.91,26.69717773
2.92,3.813882532
2.93,19.06941266
2.94,4.958047292
2.95,4.958047292
2.96,22.50190694
2.97,0
2.98,15.63691838
2.99,2.669717773
3,2.669717773
3.01,18.68802441
3.02,-1.906941266
3.03,17.54385965
3.04,6.864988558
3.05,5.339435545
3.06,19.06941266
3.07,-4.195270786
3.08,12.58581236
3.09,0.381388253
3.1,-0.381388253
3.11,16.01830664
3.12,-7.246376812
3.13,11.06025934
3.14,-2.288329519
3.15,0
